performanceRatingOverall,ticker,regularMarketChange,netExpenseRatio,trailing3mReturn,companyName,twoHundredDayMovingAvg,fundNetAssets,grossExpenseRatio,regularMarketChangePercent,annualReturnNavY1,fiftyTwoWeekChangePercent,regularMarketPrice,fiftyTwoWeekLow,trailingYtdReturn,annualReturnNavY3,annualReturnNavY5,riskRatingOverall,exchange,region,fiftyDayMovingAvg,fiftyTwoWeekHigh
3.0,0P000070V6.TO,"{'raw': 0.7528, 'fmt': '0.75'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 5.06337, 'fmt': '5.06%'}",Canada Vie Petites capit cdns Gén,"{'raw': 38.03697, 'fmt': '38.04'}","{'raw': 17651885.0, 'fmt': '17.652M', 'longFmt': '17,651,885'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 1.859353, 'fmt': '1.86%'}","{'raw': 18.7164, 'fmt': '18.72%'}","{'raw': 12.05852, 'fmt': '12.06%'}","{'raw': 41.24, 'fmt': '41.24'}","{'raw': 31.6282, 'fmt': '31.63'}","{'raw': 10.10958, 'fmt': '10.11%'}","{'raw': -8.36494, 'fmt': '-8.36%'}","{'raw': -0.51312, 'fmt': '-0.51%'}",4.0,TOR,ca,"{'raw': 40.994568, 'fmt': '40.99'}","{'raw': 42.3044, 'fmt': '42.30'}"
3.0,0P0000W7V6.TO,"{'raw': 0.28130054, 'fmt': '0.28'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 5.05353, 'fmt': '5.05%'}",CAN Can Small Cap 100/100 (PS1),"{'raw': 14.219269, 'fmt': '14.22'}","{'raw': 17651885.0, 'fmt': '17.652M', 'longFmt': '17,651,885'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 1.8588428, 'fmt': '1.86%'}","{'raw': 18.67156, 'fmt': '18.67%'}","{'raw': 12.016737, 'fmt': '12.02%'}","{'raw': 15.4144, 'fmt': '15.41'}","{'raw': 11.8243, 'fmt': '11.82'}","{'raw': 10.07455, 'fmt': '10.07%'}","{'raw': -8.39947, 'fmt': '-8.40%'}","{'raw': -0.55316, 'fmt': '-0.55%'}",4.0,TOR,ca,"{'raw': 15.323246, 'fmt': '15.32'}","{'raw': 15.8127, 'fmt': '15.81'}"
2.0,0P0000M549.TO,"{'raw': 0.33440018, 'fmt': '0.33'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 4.96166, 'fmt': '4.96%'}",CAN Can Small Cap 100/100,"{'raw': 16.92975, 'fmt': '16.93'}","{'raw': 17651885.0, 'fmt': '17.652M', 'longFmt': '17,651,885'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 1.8584086, 'fmt': '1.86%'}","{'raw': 18.25637, 'fmt': '18.26%'}","{'raw': 11.632681, 'fmt': '11.63%'}","{'raw': 18.3283, 'fmt': '18.33'}","{'raw': 14.0871, 'fmt': '14.09'}","{'raw': 9.75621, 'fmt': '9.76%'}","{'raw': -8.71789, 'fmt': '-8.72%'}","{'raw': -0.89731, 'fmt': '-0.90%'}",4.0,TOR,ca,"{'raw': 18.225878, 'fmt': '18.23'}","{'raw': 18.8059, 'fmt': '18.81'}"
,0P00007160.TO,"{'raw': 1.3269958, 'fmt': '1.33'}","{'raw': 0.0, 'fmt': '0.00'}",,Franklin ClearBridge Canadian Sm Cap F,"{'raw': 66.522995, 'fmt': '66.52'}","{'raw': 226948167.0, 'fmt': '226.948M', 'longFmt': '226,948,167'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 1.8581966, 'fmt': '1.86%'}",,"{'raw': 13.850665, 'fmt': '13.85%'}","{'raw': 72.7401, 'fmt': '72.74'}","{'raw': 55.0615, 'fmt': '55.06'}",,,,,TOR,ca,"{'raw': 72.14633, 'fmt': '72.15'}","{'raw': 74.5059, 'fmt': '74.51'}"
2.0,0P0000KS1K.TO,"{'raw': 0.28980064, 'fmt': '0.29'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 4.96116, 'fmt': '4.96%'}",Canada Life Can Small Cap Gens II,"{'raw': 14.676253, 'fmt': '14.68'}","{'raw': 17651885.0, 'fmt': '17.652M', 'longFmt': '17,651,885'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 1.8578393, 'fmt': '1.86%'}","{'raw': 18.25593, 'fmt': '18.26%'}","{'raw': 11.63212, 'fmt': '11.63%'}","{'raw': 15.8886, 'fmt': '15.89'}","{'raw': 12.212, 'fmt': '12.21'}","{'raw': 9.75595, 'fmt': '9.76%'}","{'raw': -8.71687, 'fmt': '-8.72%'}","{'raw': -0.8979, 'fmt': '-0.90%'}",4.0,TOR,ca,"{'raw': 15.799856, 'fmt': '15.80'}","{'raw': 16.3027, 'fmt': '16.30'}"
,0P000168SC.TO,"{'raw': 0.21020031, 'fmt': '0.21'}","{'raw': 0.0, 'fmt': '0.00'}",,Franklin ClearBridge Canadian Sm Cap PF,"{'raw': 10.540427, 'fmt': '10.54'}","{'raw': 226948167.0, 'fmt': '226.948M', 'longFmt': '226,948,167'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 1.8575989, 'fmt': '1.86%'}",,"{'raw': 13.675499, 'fmt': '13.68%'}","{'raw': 11.5259, 'fmt': '11.53'}","{'raw': 8.7243, 'fmt': '8.72'}",,,,,TOR,ca,"{'raw': 11.431764, 'fmt': '11.43'}","{'raw': 11.8057, 'fmt': '11.81'}"
2.0,0P000072XL.TO,"{'raw': 1.0264969, 'fmt': '1.03'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 5.3894, 'fmt': '5.39%'}",Franklin ClearBridge Canadian Sm Cap A,"{'raw': 51.899597, 'fmt': '51.90'}","{'raw': 226948167.0, 'fmt': '226.948M', 'longFmt': '226,948,167'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 1.8493173, 'fmt': '1.85%'}","{'raw': 19.79697, 'fmt': '19.80%'}","{'raw': 13.287735, 'fmt': '13.29%'}","{'raw': 56.5333, 'fmt': '56.53'}","{'raw': 43.0612, 'fmt': '43.06'}","{'raw': 11.17507, 'fmt': '11.18%'}","{'raw': -7.57272, 'fmt': '-7.57%'}","{'raw': 0.5995, 'fmt': '0.60%'}",3.0,TOR,ca,"{'raw': 56.132584, 'fmt': '56.13'}","{'raw': 57.9492, 'fmt': '57.95'}"
0.0,0P0001IIEH.TO,"{'raw': 0.28919983, 'fmt': '0.29'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 7.44425, 'fmt': '7.44%'}",Franklin ClearBridge Canadian Sm Cap PA,"{'raw': 14.625777, 'fmt': '14.63'}","{'raw': 226948167.0, 'fmt': '226.948M', 'longFmt': '226,948,167'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 1.8491156, 'fmt': '1.85%'}","{'raw': 17.91664, 'fmt': '17.92%'}","{'raw': 13.30986, 'fmt': '13.31%'}","{'raw': 15.9291, 'fmt': '15.93'}","{'raw': 12.1363, 'fmt': '12.14'}","{'raw': 18.57358, 'fmt': '18.57%'}","{'raw': 29.3916, 'fmt': '29.39%'}","{'raw': -0.24635, 'fmt': '-0.25%'}",0.0,TOR,ca,"{'raw': 15.816922, 'fmt': '15.82'}","{'raw': 16.3286, 'fmt': '16.33'}"
2.0,0P000071QH.TO,"{'raw': 0.35000038, 'fmt': '0.35'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 5.00817, 'fmt': '5.01%'}",DSF FPG Sociétés à petite cap Bissett 3,"{'raw': 17.79845, 'fmt': '17.80'}","{'raw': 6462000.0, 'fmt': '6.462M', 'longFmt': '6,462,000'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 1.8479428, 'fmt': '1.85%'}","{'raw': 18.75423, 'fmt': '18.75%'}","{'raw': 11.955893, 'fmt': '11.96%'}","{'raw': 19.29, 'fmt': '19.29'}","{'raw': 14.8, 'fmt': '14.80'}","{'raw': 9.97719, 'fmt': '9.98%'}","{'raw': -8.44476, 'fmt': '-8.44%'}","{'raw': 0.08787, 'fmt': '0.09%'}",4.0,TOR,ca,"{'raw': 19.1786, 'fmt': '19.18'}","{'raw': 19.79, 'fmt': '19.79'}"
5.0,0P0000ZMX4.TO,"{'raw': 0.4953003, 'fmt': '0.50'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 37.31523, 'fmt': '37.32%'}",Dynamic Strategic Resource Class Ser IP,"{'raw': 20.709381, 'fmt': '20.71'}","{'raw': 76939000.0, 'fmt': '76.939M', 'longFmt': '76,939,000'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 1.8178493, 'fmt': '1.82%'}","{'raw': 5.05835, 'fmt': '5.06%'}","{'raw': 48.068405, 'fmt': '48.07%'}","{'raw': 27.7418, 'fmt': '27.74'}","{'raw': 15.7256, 'fmt': '15.73'}","{'raw': 55.08454, 'fmt': '55.08%'}","{'raw': 17.90381, 'fmt': '17.90%'}","{'raw': 4.42773, 'fmt': '4.43%'}",3.0,TOR,ca,"{'raw': 26.196726, 'fmt': '26.20'}","{'raw': 31.2578, 'fmt': '31.26'}"
